"","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work"
"915238","E02002344","E02002344",63,0,0,0,1,0,0,37,1,0,24,0
"915241","E02002344","E02002347",68,0,0,0,3,3,1,38,10,1,12,0
"915243","E02002344","E02002349",35,0,0,1,0,1,0,21,7,0,5,0
"915246","E02002344","E02002352",95,0,0,0,8,0,1,55,8,2,21,0
"915247","E02002344","E02002353",14,0,0,0,0,0,0,12,1,0,1,0
"915248","E02002344","E02002354",45,0,0,0,1,0,0,35,1,1,7,0
"915251","E02002344","E02002358",30,0,0,0,1,0,0,28,0,1,0,0
"915254","E02002344","E02002361",39,0,0,0,2,1,0,34,1,0,1,0
"915256","E02002344","E02002363",65,0,0,1,12,1,0,49,1,0,1,0
"915257","E02002344","E02002364",27,0,0,0,3,0,0,20,2,0,1,1
"915258","E02002344","E02002366",17,0,0,0,4,0,0,11,0,0,2,0
"915259","E02002344","E02002367",11,0,0,0,0,0,1,10,0,0,0,0
"915261","E02002344","E02002369",11,0,0,0,0,0,0,10,1,0,0,0
"915263","E02002344","E02002371",39,0,0,0,6,0,0,29,4,0,0,0
"915267","E02002344","E02002376",4,0,0,0,0,0,0,4,0,0,0,0
"915268","E02002344","E02002377",14,0,0,0,1,0,0,10,2,0,1,0
"915269","E02002344","E02002379",9,0,0,0,1,0,0,6,2,0,0,0
"915272","E02002344","E02002382",10,0,0,0,1,0,0,9,0,0,0,0
"915274","E02002344","E02002384",46,0,0,0,8,0,2,31,5,0,0,0
"915279","E02002344","E02002389",6,0,0,0,0,0,0,5,0,0,1,0
"915280","E02002344","E02002390",29,0,0,0,1,0,0,19,3,1,4,1
"915283","E02002344","E02002393",125,0,0,0,19,0,1,98,3,4,0,0
"915284","E02002344","E02002394",18,0,0,0,2,0,0,14,2,0,0,0
"915294","E02002344","E02002404",24,0,0,0,2,1,0,21,0,0,0,0
"915461","E02002344","E02006861",39,0,0,0,1,0,0,34,3,0,1,0
"916179","E02002347","E02002344",19,0,0,0,1,1,0,10,1,0,6,0
"916182","E02002347","E02002347",187,0,0,0,10,3,0,46,5,2,121,0
"916184","E02002347","E02002349",15,0,0,0,1,0,0,6,6,1,1,0
"916187","E02002347","E02002352",59,0,0,3,6,4,0,28,4,2,12,0
"916188","E02002347","E02002353",9,0,0,0,0,0,0,8,1,0,0,0
"916189","E02002347","E02002354",55,0,0,1,3,1,0,26,3,0,21,0
"916192","E02002347","E02002358",10,0,0,0,1,0,0,7,0,0,2,0
"916195","E02002347","E02002361",18,0,0,0,2,0,0,13,2,0,1,0
"916197","E02002347","E02002363",35,0,0,0,2,3,1,23,3,0,3,0
"916198","E02002347","E02002364",18,0,0,0,4,0,0,11,1,2,0,0
"916199","E02002347","E02002366",8,0,0,0,1,0,0,3,2,2,0,0
"916200","E02002347","E02002367",11,0,0,0,2,0,0,7,0,0,2,0
"916202","E02002347","E02002369",5,0,0,0,1,0,0,4,0,0,0,0
"916204","E02002347","E02002371",40,0,0,0,6,3,1,26,1,0,3,0
"916208","E02002347","E02002376",2,0,0,0,0,0,0,2,0,0,0,0
"916209","E02002347","E02002377",11,0,0,0,2,0,0,9,0,0,0,0
"916210","E02002347","E02002379",12,0,0,0,1,1,0,9,1,0,0,0
"916213","E02002347","E02002382",8,0,0,0,1,0,0,7,0,0,0,0
"916214","E02002347","E02002384",45,0,0,0,8,0,0,34,0,1,2,0
"916219","E02002347","E02002390",8,0,0,0,2,0,0,6,0,0,0,0
"916222","E02002347","E02002393",70,0,0,0,18,0,0,47,3,2,0,0
"916223","E02002347","E02002394",11,0,0,0,3,0,0,8,0,0,0,0
"916233","E02002347","E02002404",14,0,0,0,1,0,0,11,1,1,0,0
"916342","E02002347","E02006861",19,0,0,0,2,0,1,15,1,0,0,0
"916777","E02002349","E02002344",13,0,0,0,1,2,0,9,0,0,1,0
"916780","E02002349","E02002347",27,0,0,0,1,0,0,22,3,1,0,0
"916782","E02002349","E02002349",76,0,0,0,2,0,1,33,4,0,36,0
"916785","E02002349","E02002352",57,0,0,0,7,2,0,21,5,3,19,0
"916786","E02002349","E02002353",33,0,0,0,2,1,0,15,0,0,15,0
"916787","E02002349","E02002354",29,0,0,1,4,0,1,18,2,0,3,0
"916790","E02002349","E02002358",20,0,0,0,0,0,0,17,2,1,0,0
"916792","E02002349","E02002361",44,0,0,0,4,2,0,21,5,1,11,0
"916794","E02002349","E02002363",49,0,0,1,2,1,0,39,1,5,0,0
"916795","E02002349","E02002364",26,0,0,0,4,1,0,17,1,0,3,0
"916796","E02002349","E02002366",23,0,0,0,7,0,0,13,0,1,2,0
"916797","E02002349","E02002367",8,0,0,0,0,0,0,8,0,0,0,0
"916799","E02002349","E02002369",6,0,0,0,0,0,1,4,0,0,1,0
"916801","E02002349","E02002371",23,0,0,0,3,0,0,19,1,0,0,0
"916805","E02002349","E02002376",6,0,0,0,0,0,0,5,1,0,0,0
"916806","E02002349","E02002377",13,0,0,0,1,0,0,9,2,1,0,0
"916807","E02002349","E02002379",17,0,0,0,0,0,0,15,1,1,0,0
"916810","E02002349","E02002382",7,0,0,0,2,0,0,5,0,0,0,0
"916812","E02002349","E02002384",32,0,0,0,6,0,1,22,1,1,1,0
"916817","E02002349","E02002389",2,0,0,0,0,0,0,2,0,0,0,0
"916818","E02002349","E02002390",16,0,0,0,2,0,0,11,2,0,1,0
"916821","E02002349","E02002393",124,0,0,0,16,1,2,88,4,10,3,0
"916822","E02002349","E02002394",18,0,0,0,0,0,0,17,0,1,0,0
"916831","E02002349","E02002404",16,0,0,1,3,1,0,9,2,0,0,0
"916960","E02002349","E02006861",19,0,0,0,0,0,0,16,1,1,1,0
"917761","E02002352","E02002344",28,0,0,0,2,0,0,17,0,3,6,0
"917763","E02002352","E02002347",57,0,0,0,3,1,1,37,3,3,9,0
"917765","E02002352","E02002349",39,0,0,0,5,0,0,16,8,1,9,0
"917768","E02002352","E02002352",156,0,0,2,9,2,0,59,4,3,77,0
"917769","E02002352","E02002353",32,0,0,0,3,0,0,10,3,0,16,0
"917770","E02002352","E02002354",39,0,0,0,1,0,0,24,1,0,13,0
"917773","E02002352","E02002358",19,0,0,0,0,2,0,14,1,0,2,0
"917776","E02002352","E02002361",28,0,0,0,3,0,0,18,0,2,5,0
"917778","E02002352","E02002363",83,0,0,0,9,0,1,37,8,2,25,1
"917779","E02002352","E02002364",16,0,0,0,0,0,0,14,1,0,1,0
"917780","E02002352","E02002366",14,0,0,0,4,0,0,8,0,0,2,0
"917781","E02002352","E02002367",7,0,0,0,0,0,1,6,0,0,0,0
"917783","E02002352","E02002369",9,0,0,0,0,0,0,9,0,0,0,0
"917785","E02002352","E02002371",43,0,0,0,3,1,1,33,3,1,1,0
"917788","E02002352","E02002376",5,0,0,0,0,0,0,5,0,0,0,0
"917789","E02002352","E02002377",34,0,0,0,2,0,0,27,3,0,2,0
"917790","E02002352","E02002379",12,0,0,0,1,0,0,10,0,1,0,0
"917793","E02002352","E02002382",10,0,0,0,1,0,0,9,0,0,0,0
"917795","E02002352","E02002384",60,0,0,0,9,0,0,38,8,4,1,0
"917800","E02002352","E02002389",2,0,0,0,0,0,0,2,0,0,0,0
"917801","E02002352","E02002390",26,0,0,0,1,0,0,21,1,1,2,0
"917804","E02002352","E02002393",131,0,0,1,7,1,0,101,9,8,4,0
"917805","E02002352","E02002394",24,0,0,0,4,1,0,17,1,1,0,0
"917815","E02002352","E02002404",17,0,0,0,1,0,0,13,1,2,0,0
"917982","E02002352","E02006861",37,0,0,0,2,0,1,32,1,0,1,0
"918118","E02002353","E02002344",6,0,0,0,2,0,0,0,1,1,2,0
"918121","E02002353","E02002347",17,0,0,0,0,1,0,10,0,4,2,0
"918123","E02002353","E02002349",41,0,0,0,4,1,0,15,4,0,17,0
"918126","E02002353","E02002352",81,0,0,0,3,3,0,37,8,2,28,0
"918127","E02002353","E02002353",63,0,0,0,0,0,0,26,2,1,34,0
"918128","E02002353","E02002354",15,0,0,0,0,0,0,12,1,1,1,0
"918131","E02002353","E02002358",17,0,0,0,0,0,0,14,0,2,1,0
"918134","E02002353","E02002361",74,0,0,0,4,1,0,32,7,2,28,0
"918136","E02002353","E02002363",52,0,0,0,6,2,0,36,4,0,4,0
"918137","E02002353","E02002364",16,0,0,0,1,0,0,15,0,0,0,0
"918138","E02002353","E02002366",27,0,0,0,1,1,0,16,5,1,3,0
"918139","E02002353","E02002367",7,0,0,0,0,0,0,6,1,0,0,0
"918141","E02002353","E02002369",7,0,0,0,1,0,0,4,1,0,1,0
"918142","E02002353","E02002371",45,0,0,0,6,0,0,37,1,0,1,0
"918145","E02002353","E02002376",7,0,0,0,0,0,0,6,1,0,0,0
"918146","E02002353","E02002377",26,0,0,0,3,0,0,23,0,0,0,0
"918147","E02002353","E02002379",20,0,0,0,0,1,0,14,4,1,0,0
"918150","E02002353","E02002382",4,0,0,0,0,0,0,3,1,0,0,0
"918152","E02002353","E02002384",54,0,0,0,5,0,0,42,7,0,0,0
"918157","E02002353","E02002389",3,0,0,0,0,0,0,3,0,0,0,0
"918158","E02002353","E02002390",14,0,0,0,0,0,0,12,2,0,0,0
"918161","E02002353","E02002393",108,0,0,0,18,1,0,75,8,6,0,0
"918162","E02002353","E02002394",17,0,0,0,0,0,1,12,1,2,0,1
"918172","E02002353","E02002404",15,0,0,0,2,0,2,9,0,2,0,0
"918313","E02002353","E02006861",29,0,0,0,1,0,0,24,0,4,0,0
"918443","E02002354","E02002344",13,0,0,0,0,0,0,9,1,0,3,0
"918446","E02002354","E02002347",73,0,0,0,7,1,0,39,5,1,20,0
"918448","E02002354","E02002349",20,0,0,0,1,1,1,16,0,0,1,0
"918451","E02002354","E02002352",77,0,0,0,3,1,0,38,4,0,31,0
"918452","E02002354","E02002353",22,0,0,0,2,0,0,16,0,0,4,0
"918453","E02002354","E02002354",112,0,1,0,2,1,0,49,6,1,52,0
"918456","E02002354","E02002358",7,0,0,0,2,0,0,4,1,0,0,0
"918459","E02002354","E02002361",19,0,0,0,2,0,0,11,0,2,4,0
"918461","E02002354","E02002363",79,0,0,1,5,2,0,40,4,2,25,0
"918462","E02002354","E02002364",19,0,0,0,4,0,0,15,0,0,0,0
"918463","E02002354","E02002366",25,0,0,0,3,2,0,18,0,0,2,0
"918464","E02002354","E02002367",14,0,0,0,1,0,0,12,0,0,1,0
"918466","E02002354","E02002369",5,0,0,0,0,0,0,3,2,0,0,0
"918468","E02002354","E02002371",57,0,0,1,4,0,0,45,3,0,4,0
"918471","E02002354","E02002376",11,0,0,0,0,0,0,10,1,0,0,0
"918472","E02002354","E02002377",18,0,0,0,3,0,0,14,0,0,0,1
"918473","E02002354","E02002379",7,0,0,0,0,0,0,5,1,0,1,0
"918475","E02002354","E02002382",13,0,0,0,2,0,0,10,1,0,0,0
"918477","E02002354","E02002384",84,0,0,0,7,0,1,65,6,2,3,0
"918482","E02002354","E02002389",4,0,0,0,1,0,0,3,0,0,0,0
"918483","E02002354","E02002390",10,0,0,0,1,0,0,9,0,0,0,0
"918486","E02002354","E02002393",121,0,0,0,11,0,0,93,11,3,3,0
"918487","E02002354","E02002394",23,0,0,0,5,0,1,16,1,0,0,0
"918497","E02002354","E02002404",22,0,0,0,4,1,0,15,2,0,0,0
"918645","E02002354","E02006861",46,0,0,0,3,0,0,35,7,0,1,0
"919515","E02002358","E02002344",5,0,0,0,0,0,0,4,1,0,0,0
"919518","E02002358","E02002347",9,0,0,0,0,0,0,8,1,0,0,0
"919520","E02002358","E02002349",12,0,0,0,0,0,0,12,0,0,0,0
"919523","E02002358","E02002352",14,0,0,0,5,0,0,8,1,0,0,0
"919524","E02002358","E02002353",10,0,0,0,0,0,0,8,1,1,0,0
"919525","E02002358","E02002354",11,0,0,0,1,0,0,10,0,0,0,0
"919528","E02002358","E02002358",244,0,0,1,12,2,3,86,10,4,126,0
"919531","E02002358","E02002361",20,0,0,0,2,0,0,15,3,0,0,0
"919533","E02002358","E02002363",14,0,0,0,1,0,0,11,1,1,0,0
"919534","E02002358","E02002364",106,0,0,0,15,1,0,52,4,0,34,0
"919535","E02002358","E02002366",19,0,0,0,3,0,0,14,2,0,0,0
"919536","E02002358","E02002367",4,0,0,0,0,0,0,4,0,0,0,0
"919538","E02002358","E02002369",13,0,0,0,2,0,0,7,2,0,2,0
"919540","E02002358","E02002371",26,0,0,0,5,0,0,18,2,0,1,0
"919544","E02002358","E02002376",11,0,0,0,3,0,0,7,1,0,0,0
"919545","E02002358","E02002377",17,0,0,0,3,0,0,13,1,0,0,0
"919546","E02002358","E02002379",25,0,0,0,3,0,1,16,1,1,3,0
"919549","E02002358","E02002382",11,0,0,0,1,0,0,9,1,0,0,0
"919551","E02002358","E02002384",48,0,0,0,3,0,0,42,3,0,0,0
"919556","E02002358","E02002389",6,0,0,0,1,0,0,5,0,0,0,0
"919557","E02002358","E02002390",73,0,0,1,22,2,0,40,3,1,4,0
"919560","E02002358","E02002393",117,0,0,0,27,1,0,74,15,0,0,0
"919561","E02002358","E02002394",44,0,0,0,10,0,1,29,3,0,1,0
"919571","E02002358","E02002404",38,0,0,0,3,1,0,27,3,2,2,0
"919714","E02002358","E02006861",17,0,0,0,1,0,0,13,3,0,0,0
"920557","E02002361","E02002344",3,0,0,0,1,0,0,2,0,0,0,0
"920560","E02002361","E02002347",15,0,0,0,1,0,0,13,1,0,0,0
"920562","E02002361","E02002349",32,0,0,0,3,0,0,18,3,2,6,0
"920565","E02002361","E02002352",44,0,0,1,2,1,0,27,3,1,9,0
"920566","E02002361","E02002353",32,0,0,0,0,0,0,18,0,0,14,0
"920567","E02002361","E02002354",18,0,0,0,2,0,0,13,3,0,0,0
"920570","E02002361","E02002358",13,0,0,0,1,0,0,10,1,1,0,0
"920573","E02002361","E02002361",109,0,0,0,4,2,0,39,3,2,59,0
"920575","E02002361","E02002363",38,0,0,1,4,1,0,24,4,0,4,0
"920576","E02002361","E02002364",15,0,0,0,4,0,0,10,0,1,0,0
"920577","E02002361","E02002366",29,0,0,0,6,0,0,11,1,1,10,0
"920578","E02002361","E02002367",10,0,0,0,1,0,0,8,0,0,1,0
"920580","E02002361","E02002369",5,0,0,0,0,0,0,4,0,1,0,0
"920582","E02002361","E02002371",44,0,0,0,2,2,0,28,3,3,6,0
"920586","E02002361","E02002376",7,0,0,0,1,0,0,4,1,0,1,0
"920587","E02002361","E02002377",34,0,0,0,0,1,2,19,3,0,9,0
"920588","E02002361","E02002379",9,0,0,0,0,0,0,8,1,0,0,0
"920591","E02002361","E02002382",7,0,0,0,1,0,0,5,1,0,0,0
"920593","E02002361","E02002384",53,0,0,1,10,1,0,30,4,4,3,0
"920597","E02002361","E02002389",5,0,0,0,0,0,0,5,0,0,0,0
"920598","E02002361","E02002390",17,0,0,0,1,1,0,13,1,1,0,0
"920601","E02002361","E02002393",94,0,0,0,17,1,0,55,10,0,10,1
"920602","E02002361","E02002394",17,0,0,0,2,0,0,14,1,0,0,0
"920612","E02002361","E02002404",20,0,0,0,2,1,0,15,1,1,0,0
"920737","E02002361","E02006861",26,0,0,1,3,0,0,20,0,1,1,0
"921204","E02002363","E02002344",10,0,0,0,1,0,0,7,0,0,2,0
"921207","E02002363","E02002347",14,0,0,0,2,1,0,8,2,1,0,0
"921209","E02002363","E02002349",23,0,0,0,4,1,0,13,3,1,1,0
"921212","E02002363","E02002352",29,0,0,0,5,1,0,13,2,2,6,0
"921213","E02002363","E02002353",20,0,0,0,4,0,0,12,2,0,2,0
"921214","E02002363","E02002354",20,0,0,0,0,0,0,12,4,0,4,0
"921217","E02002363","E02002358",10,0,0,0,0,0,0,6,2,1,1,0
"921220","E02002363","E02002361",30,0,0,0,0,1,1,18,3,1,6,0
"921222","E02002363","E02002363",183,0,0,2,13,3,0,58,1,5,101,0
"921223","E02002363","E02002364",14,0,0,0,1,1,0,12,0,0,0,0
"921224","E02002363","E02002366",29,0,0,0,4,1,0,16,2,1,5,0
"921225","E02002363","E02002367",11,0,0,0,2,0,0,5,1,1,2,0
"921227","E02002363","E02002369",11,0,0,0,1,0,0,10,0,0,0,0
"921228","E02002363","E02002371",72,0,0,0,7,1,0,35,2,2,25,0
"921232","E02002363","E02002376",11,0,0,0,1,0,0,10,0,0,0,0
"921233","E02002363","E02002377",13,0,0,0,1,0,1,6,0,2,3,0
"921234","E02002363","E02002379",13,0,0,0,2,0,0,9,2,0,0,0
"921237","E02002363","E02002382",8,0,0,0,0,0,0,7,1,0,0,0
"921239","E02002363","E02002384",92,0,0,1,13,1,1,51,2,2,21,0
"921244","E02002363","E02002389",2,0,0,0,0,0,0,2,0,0,0,0
"921245","E02002363","E02002390",13,0,0,0,3,0,0,10,0,0,0,0
"921248","E02002363","E02002393",156,0,0,0,19,5,3,89,13,12,15,0
"921249","E02002363","E02002394",28,0,0,0,4,0,0,19,1,2,2,0
"921259","E02002363","E02002404",22,0,0,0,1,1,0,16,1,1,2,0
"921426","E02002363","E02006861",44,0,0,0,3,3,0,26,2,7,3,0
"921512","E02002364","E02002344",2,0,0,0,0,0,0,2,0,0,0,0
"921515","E02002364","E02002347",6,0,0,0,1,0,0,5,0,0,0,0
"921517","E02002364","E02002349",8,0,0,0,0,0,0,7,1,0,0,0
"921520","E02002364","E02002352",17,0,0,0,5,0,0,10,0,1,1,0
"921521","E02002364","E02002353",10,0,0,0,1,1,0,5,2,0,1,0
"921522","E02002364","E02002354",6,0,0,0,1,0,0,3,1,0,1,0
"921525","E02002364","E02002358",95,0,0,0,3,3,1,44,7,1,36,0
"921528","E02002364","E02002361",19,0,0,0,2,4,0,8,2,0,2,1
"921530","E02002364","E02002363",11,0,0,0,5,0,0,5,1,0,0,0
"921531","E02002364","E02002364",206,0,0,0,15,1,0,61,9,4,116,0
"921532","E02002364","E02002366",29,0,1,0,7,0,2,9,1,2,6,1
"921533","E02002364","E02002367",6,0,0,0,2,0,0,4,0,0,0,0
"921535","E02002364","E02002369",32,0,0,0,1,1,0,17,2,0,11,0
"921537","E02002364","E02002371",27,0,0,0,3,0,0,15,2,0,7,0
"921541","E02002364","E02002376",11,0,0,0,4,0,0,4,2,0,1,0
"921542","E02002364","E02002377",6,0,0,0,0,0,0,5,0,1,0,0
"921543","E02002364","E02002379",43,0,0,1,4,4,0,14,2,0,18,0
"921545","E02002364","E02002382",13,0,0,0,7,0,0,3,1,1,1,0
"921547","E02002364","E02002384",39,0,0,0,7,0,1,24,3,0,4,0
"921552","E02002364","E02002389",8,0,0,0,0,0,0,6,0,0,2,0
"921553","E02002364","E02002390",62,0,0,0,19,2,1,20,7,1,12,0
"921556","E02002364","E02002393",118,0,0,0,57,0,0,45,12,1,2,1
"921557","E02002364","E02002394",25,0,0,0,8,1,0,12,3,0,1,0
"921567","E02002364","E02002404",20,0,0,0,5,0,0,9,4,2,0,0
"921673","E02002364","E02006861",13,0,0,0,0,0,0,9,3,0,1,0
"921789","E02002366","E02002344",11,0,0,0,0,0,0,9,1,0,1,0
"921792","E02002366","E02002347",11,0,0,0,3,0,0,6,0,0,2,0
"921794","E02002366","E02002349",33,0,0,0,3,0,0,15,2,0,13,0
"921797","E02002366","E02002352",24,0,0,0,5,0,0,13,4,2,0,0
"921798","E02002366","E02002353",18,0,0,0,2,0,0,12,1,0,3,0
"921799","E02002366","E02002354",10,0,0,0,1,0,0,8,1,0,0,0
"921802","E02002366","E02002358",20,0,0,0,1,0,0,17,2,0,0,0
"921805","E02002366","E02002361",62,0,0,0,6,1,0,25,2,0,27,1
"921807","E02002366","E02002363",32,0,0,0,3,1,0,23,4,0,1,0
"921808","E02002366","E02002364",34,0,0,0,4,0,0,26,3,0,1,0
"921809","E02002366","E02002366",89,0,0,1,6,2,0,35,6,0,37,2
"921810","E02002366","E02002367",4,0,0,0,2,0,0,1,1,0,0,0
"921812","E02002366","E02002369",24,0,0,0,1,0,0,15,0,0,8,0
"921814","E02002366","E02002371",53,0,0,0,4,0,0,34,6,0,8,1
"921818","E02002366","E02002376",15,0,0,0,1,0,0,7,2,1,3,1
"921819","E02002366","E02002377",68,0,0,0,5,0,0,42,5,1,15,0
"921820","E02002366","E02002379",17,0,0,0,0,0,0,14,2,0,1,0
"921823","E02002366","E02002382",23,0,0,0,1,1,0,11,0,0,10,0
"921825","E02002366","E02002384",52,0,0,0,6,1,0,29,4,3,8,1
"921830","E02002366","E02002389",2,0,0,0,0,0,0,2,0,0,0,0
"921831","E02002366","E02002390",33,0,0,0,4,0,0,23,2,2,1,1
"921834","E02002366","E02002393",138,0,0,0,23,2,1,76,16,4,13,3
"921835","E02002366","E02002394",29,0,0,0,2,1,1,20,3,0,2,0
"921845","E02002366","E02002404",35,0,0,0,4,1,0,25,5,0,0,0
"921981","E02002366","E02006861",23,0,0,0,6,0,0,15,1,0,1,0
"922089","E02002367","E02002344",6,0,0,0,0,0,0,4,1,0,1,0
"922092","E02002367","E02002347",15,0,0,0,3,0,0,8,4,0,0,0
"922094","E02002367","E02002349",14,0,0,0,9,0,0,5,0,0,0,0
"922097","E02002367","E02002352",24,0,0,0,11,2,0,4,0,1,6,0
"922098","E02002367","E02002353",8,0,0,0,2,0,0,5,1,0,0,0
"922099","E02002367","E02002354",46,0,0,0,7,1,0,16,2,0,19,1
"922102","E02002367","E02002358",8,0,0,0,0,0,0,6,2,0,0,0
"922105","E02002367","E02002361",5,0,0,0,2,0,0,2,0,0,1,0
"922107","E02002367","E02002363",84,0,0,0,4,4,0,23,4,2,47,0
"922108","E02002367","E02002364",8,0,0,0,3,0,0,4,0,1,0,0
"922109","E02002367","E02002366",13,0,0,0,3,2,0,3,3,0,2,0
"922110","E02002367","E02002367",41,0,0,1,5,1,0,14,2,1,17,0
"922112","E02002367","E02002369",8,0,0,0,2,0,0,6,0,0,0,0
"922114","E02002367","E02002371",66,0,0,0,8,0,0,33,4,1,20,0
"922118","E02002367","E02002377",9,0,0,0,0,0,0,6,0,2,1,0
"922119","E02002367","E02002379",4,0,0,0,2,0,0,1,0,0,1,0
"922122","E02002367","E02002382",9,0,0,0,2,0,0,6,0,0,1,0
"922124","E02002367","E02002384",48,0,0,0,7,3,0,22,5,0,10,1
"922129","E02002367","E02002389",6,0,0,0,1,3,0,2,0,0,0,0
"922130","E02002367","E02002390",8,0,0,0,1,1,0,5,0,0,1,0
"922133","E02002367","E02002393",88,0,0,0,17,1,0,44,5,4,16,1
"922134","E02002367","E02002394",19,0,0,0,7,0,0,8,1,0,3,0
"922144","E02002367","E02002404",25,0,0,0,3,0,0,18,2,1,0,1
"922252","E02002367","E02006861",47,0,0,0,7,2,0,17,6,0,15,0
"922732","E02002369","E02002344",4,0,0,0,2,0,0,2,0,0,0,0
"922735","E02002369","E02002347",10,0,0,0,4,0,0,5,0,1,0,0
"922737","E02002369","E02002349",11,0,0,0,3,0,0,3,2,0,3,0
"922740","E02002369","E02002352",9,0,0,0,3,0,0,2,0,2,1,1
"922741","E02002369","E02002353",8,0,0,0,0,0,0,3,3,1,1,0
